first_input,second_input,output,real
steam,volcano,lava,TRUE
plant,volcano,lava,TRUE
wave,volcano,lava,TRUE
steam,earth,mud,TRUE
dust,water,mud,TRUE
dust,lake,mud,TRUE
plant,wind,dandelion,TRUE
plant,steam,tea,TRUE
smoke,water,fog,TRUE
smoke,lake,fog,TRUE
steam,fire,engine,TRUE
lake,volcano,island,TRUE
plant,wave,seaweed,TRUE
steam,water,cloud,TRUE
steam,wind,cloud,TRUE
steam,lake,cloud,TRUE
steam,steam,cloud,TRUE
smoke,wind,cloud,TRUE
smoke,steam,cloud,TRUE
smoke,smoke,cloud,TRUE
dust,steam,cloud,TRUE
tornado,tornado,hurricane,TRUE
dust,tornado,dust storm,TRUE
dust,wind,sandstorm,TRUE
mountain,lake,fjord,TRUE
mountain,wind,avalanche,TRUE
dust,plant,pollen,TRUE
smoke,plant,incense,TRUE
smoke,wave,surf,TRUE
wave,steam,surf,TRUE
wind,volcano,eruption,TRUE
volcano,tornado,eruption,TRUE
volcano,lava,eruption,TRUE
smoke,volcano,eruption,TRUE
plant,lake,lily,TRUE
mountain,mountain,mountain range,TRUE
ocean,planet,earth,TRUE
seaweed,planet,earth,TRUE
lake,planet,earth,TRUE
dust,planet,earth,TRUE
swamp,fire,dragon,TRUE
steam,swamp,dragon,TRUE
swamp,smoke,dragon,TRUE
water,planet,ocean,TRUE
water,tsunami,ocean,TRUE
lake,tsunami,ocean,TRUE
surf,surf,ocean,TRUE
lake,fjord,ocean,TRUE
ocean,island,atlantis,TRUE
tsunami,island,atlantis,TRUE
earth,planet,moon,TRUE
mountain,planet,moon,TRUE
mud,water,swamp,TRUE
steam,mud,swamp,TRUE
lake,mud,swamp,TRUE
swamp,tsunami,swamp,TRUE
water,ocean,fish,TRUE
ocean,fog,fish,TRUE
storm,wind,tornado,TRUE
storm,earth,tornado,TRUE
storm,storm,tornado,TRUE
storm,dust,tornado,TRUE
tornado,engine,tornado,TRUE
hurricane,engine,tornado,TRUE
storm,engine,tornado,TRUE
dust,sandstorm,tornado,TRUE
dust storm,dust storm,tornado,TRUE
hurricane,hurricane,tornado,TRUE
storm,tsunami,tornado,TRUE
sandstorm,tsunami,tornado,TRUE
wind,dust storm,tornado,TRUE
storm,hurricane,tornado,TRUE
planet,hurricane,tornado,TRUE
storm,fire,volcano,TRUE
storm,lava,volcano,TRUE
swamp,lava,volcano,TRUE
swamp,mountain,volcano,TRUE
dandelion,eruption,volcano,TRUE
lava,eruption,volcano,TRUE
eruption,eruption,volcano,TRUE
wind,eruption,volcano,TRUE
smoke,eruption,volcano,TRUE
tornado,eruption,volcano,TRUE
ash,lava,volcano,TRUE
mountain,island,volcano,TRUE
eruption,island,volcano,TRUE
storm,eruption,volcano,TRUE
ocean,lily,mermaid,TRUE
ocean,tornado,tsunami,TRUE
storm,lake,tsunami,TRUE
storm,ocean,tsunami,TRUE
ocean,wave,tsunami,TRUE
storm,wave,tsunami,TRUE
swamp,wave,tsunami,TRUE
ocean,tsunami,tsunami,TRUE
ocean,hurricane,tsunami,TRUE
ocean,avalanche,tsunami,TRUE
ocean,sandstorm,tsunami,TRUE
ocean,dust storm,tsunami,TRUE
tornado,hurricane,tsunami,TRUE
tsunami,tsunami,tsunami,TRUE
wave,tsunami,tsunami,TRUE
storm,plant,tree,TRUE
ash,wind,dust,TRUE
tornado,sand,dust,TRUE
wind,ocean,storm,TRUE
tornado,fog,storm,TRUE
wind,planet,storm,TRUE
wind,cloud,storm,TRUE
volcano,seaweed,sushi,TRUE
ocean,lava,stone,TRUE
ash,ash,stone,TRUE
mountain range,mountain range,mountain,TRUE
plant,incense,smoke,TRUE
fire,ocean,steam,TRUE
fire,engine,steam,TRUE
stone,wind,sand,TRUE
ocean,dust,sand,TRUE
stone,dust,sand,TRUE
tree,fire,ash,TRUE
dandelion,fire,ash,TRUE
fire,planet,sun,TRUE
tree,earth,forest,TRUE
mountain,tree,forest,TRUE
tree,tree,forest,TRUE
tree,plant,forest,TRUE
earth,stone,rock,TRUE
stone,water,rock,TRUE
stone,mountain,rock,TRUE
stone,wave,rock,TRUE
storm,avalanche,rock,TRUE
storm,stone,meteor,TRUE
stone,fire,lava,TRUE
stone,volcano,lava,TRUE
swamp,volcano,lava,TRUE
volcano,eruption,lava,TRUE
volcano,ash,lava,TRUE
swamp,stone,statue,TRUE
stone,smoke,statue,TRUE
ash,stone,statue,TRUE
stone,island,statue,TRUE
storm,water,rain,TRUE
steam,storm,rain,TRUE
ocean,cloud,rain,TRUE
cloud,cloud,rain,TRUE
steam,cloud,rain,TRUE
dust,cloud,rain,TRUE
water,cloud,rain,TRUE
lake,cloud,rain,TRUE
fog,storm,rain,TRUE
cloud,storm,rain,TRUE
fog,cloud,rain,TRUE
swamp,earth,mud,TRUE
swamp,dust,mud,TRUE
pollen,pollen,flower,TRUE
lily,lily,flower,TRUE
plant,lily,flower,TRUE
plant,pollen,flower,TRUE
steam,tsunami,Titanic,TRUE
ocean,mountain range,beach,TRUE
ocean,mud,beach,TRUE
ocean,sand,beach,TRUE
wave,sand,beach,TRUE
ocean,ash,salt,TRUE
plant,tea,tea,TRUE
tea,tea,tea,TRUE
ocean,smoke,fog,TRUE
smoke,cloud,fog,TRUE
sand,planet,desert,TRUE
sand,sand,desert,TRUE
earth,sand,desert,TRUE
sand,sandstorm,desert,TRUE
sandstorm,planet,Mars,TRUE
planet,planet,star,TRUE
earth,ocean,island,TRUE
ocean,volcano,island,TRUE
mountain,ocean,island,TRUE
stone,ocean,island,TRUE
ocean,eruption,island,TRUE
mountain,tsunami,island,TRUE
lake,island,island,TRUE
stone,plant,fossil,TRUE
ash,fire,phoenix,TRUE
ocean,plant,coral,TRUE
ocean,tree,coral,TRUE
ocean,pollen,coral,TRUE
seaweed,seaweed,coral,TRUE
ocean,dandelion,seaweed,TRUE
steam,ocean,cloud,TRUE
smoke,fog,cloud,TRUE
fog,fog,cloud,TRUE
tea,dandelion,wine,TRUE
storm,tornado,hurricane,TRUE
storm,planet,hurricane,TRUE
sandstorm,sandstorm,dust storm,TRUE
tornado,sandstorm,dust storm,TRUE
wind,sandstorm,dust storm,TRUE
lake,ocean,sea,TRUE
ocean,ocean,sea,TRUE
ocean,incense,sea,TRUE
ocean,tea,sea,TRUE
avalanche,avalanche,snow,TRUE
mountain,avalanche,snow,TRUE
wind,avalanche,snow,TRUE
stone,avalanche,snow,TRUE
dust storm,dust,sandstorm,TRUE
dust,sand,sandstorm,TRUE
dust storm,tsunami,sandstorm,TRUE
dust storm,sand,sandstorm,TRUE
storm,smoke,thunder,TRUE
stone,tornado,avalanche,TRUE
storm,mountain,avalanche,TRUE
dandelion,ash,wish,TRUE
swamp,mud,quagmire,TRUE
plant,dandelion,weed,TRUE
water,fog,ice,TRUE
stone,lava,obsidian,TRUE
storm,tree,lightning,TRUE
ocean,surf,surfer,TRUE
smoke,surf,surfer,TRUE
wave,surf,surfer,TRUE
seaweed,surf,surfer,TRUE
mud,fire,brick,TRUE
earth,mud,clay,TRUE
mud,mud,clay,TRUE
dust,mud,clay,TRUE
ash,mud,clay,TRUE
stone,stone,boulder,TRUE
tsunami,hurricane,disaster,TRUE
avalanche,tsunami,disaster,TRUE
wave,seaweed,surf,TRUE
dust,fjord,troll,TRUE
storm,volcano,eruption,TRUE
stone,sand,pyramid,TRUE
stone,lake,lighthouse,TRUE
tsunami,planet,earthquake,TRUE
tsunami,volcano,earthquake,TRUE
swamp,water,marsh,TRUE
swamp,lake,marsh,TRUE
swamp,ocean,marsh,TRUE
incense,swamp,mosquito,TRUE
swamp,tornado,cyclone,TRUE
swamp,wind,mist,TRUE
lake,fog,mist,TRUE
tsunami,fog,mist,TRUE
planet,tornado,cyclone,TRUE
swamp,lily,lotus,TRUE
lake,lily,lotus,TRUE
ash,water,puddle,TRUE
earth,tea,teapot,TRUE
steam,tea,teapot,TRUE
ocean,seaweed,kelp,TRUE
plant,seaweed,kelp,TRUE
seaweed,earth,kelp,TRUE
dandelion,seaweed,kelp,TRUE
dust storm,sandstorm,dust bowl,TRUE
ocean,fjord,whale,TRUE
swamp,plant,venus flytrap,TRUE
tsunami,tornado,destruction,TRUE
smoke,incense,prayer,TRUE
tornado,avalanche,blizzard,TRUE
incense,incense,perfume,TRUE
steam,engine,train,TRUE
tree,swamp,mangrove,TRUE
tree,ash,pencil,TRUE
engine,engine,rocket,TRUE
ocean,engine,submarine,TRUE
swamp,storm,bog,TRUE
swamp,swamp,bog,TRUE
steam,stone,geysir,TRUE
wind,dandelion,seed,TRUE
steam,surf,surfing,TRUE
mountain,mountain range,mountain range,TRUE
island,island,continent,TRUE
earth,island,continent,TRUE
dust,ash,cinder,TRUE
dust,pollen,allergy,TRUE
dust storm,tea,tea storm,FALSE
dandelion,volcano,fireworks,TRUE
volcano,island,Hawaii,TRUE
wind,sand,dune,TRUE
fjord,fjord,glacier,TRUE
mountain,fjord,Norway,TRUE
dandelion,dandelion,dandelion patch,TRUE
tornado,dust storm,dust devil,TRUE
dandelion,fireworks,fire,TRUE
tree,lightning,fire,TRUE
smoke,dragon,fire,TRUE
moon,moon,planet,TRUE
Mars,Mars,planet,TRUE
moon,planet,earth,TRUE
planet,forest,earth,TRUE
atlantis,planet,earth,TRUE
Mars,planet,earth,TRUE
fish,planet,earth,TRUE
dragon,planet,earth,TRUE
beach,planet,earth,TRUE
dragon,fire,dragon,TRUE
lake,puddle,ocean,TRUE
atlantis,water,ocean,TRUE
salt,sea,ocean,TRUE
sea,sea,ocean,TRUE
lake,rain,ocean,TRUE
rain,sea,ocean,TRUE
lake,sea,ocean,TRUE
atlantis,eruption,atlantis,TRUE
mermaid,mountain range,atlantis,TRUE
atlantis,meteor,atlantis,TRUE
atlantis,island,atlantis,TRUE
island,whale,atlantis,TRUE
mermaid,brick,atlantis,TRUE
atlantis,fire,atlantis,TRUE
atlantis,volcano,atlantis,TRUE
atlantis,lake,atlantis,TRUE
atlantis,tsunami,atlantis,TRUE
atlantis,atlantis,atlantis,TRUE
Titanic,atlantis,atlantis,TRUE
brick,atlantis,atlantis,TRUE
ocean,submarine,atlantis,TRUE
statue,planet,moon,TRUE
earthquake,planet,moon,TRUE
meteor,planet,moon,TRUE
tornado,bog,swamp,TRUE
marsh,bog,swamp,TRUE
lily,marsh,swamp,TRUE
quagmire,mud,swamp,TRUE
quagmire,quagmire,swamp,TRUE
quagmire,bog,swamp,TRUE
quagmire,marsh,swamp,TRUE
quagmire,water,swamp,TRUE
quagmire,earth,swamp,TRUE
marsh,marsh,swamp,TRUE
ocean,marsh,swamp,TRUE
water,marsh,swamp,TRUE
lake,marsh,swamp,TRUE
storm,bog,swamp,TRUE
bog,bog,swamp,TRUE
mermaid,meteor,fish,TRUE
ocean,sea,fish,TRUE
hurricane,cyclone,tornado,TRUE
disaster,hurricane,tornado,TRUE
tsunami,cyclone,tornado,TRUE
dragon,wind,tornado,TRUE
destruction,tornado,tornado,TRUE
dust storm,dust devil,tornado,TRUE
dust devil,dust devil,tornado,TRUE
blizzard,hurricane,tornado,TRUE
dragon,tornado,tornado,TRUE
cyclone,cyclone,tornado,TRUE
swamp,cyclone,tornado,TRUE
rock,fire,volcano,TRUE
rock,lava,volcano,TRUE
mountain,boulder,volcano,TRUE
tsunami,geysir,volcano,TRUE
eruption,geysir,volcano,TRUE
atlantis,lava,volcano,TRUE
atlantis,smoke,volcano,TRUE
earth,destruction,volcano,TRUE
quagmire,fire,volcano,TRUE
disaster,disaster,volcano,TRUE
disaster,eruption,volcano,TRUE
ash,cinder,volcano,TRUE
smoke,thunder,volcano,TRUE
stone,geysir,volcano,TRUE
cinder,cinder,volcano,TRUE
geysir,geysir,volcano,TRUE
earthquake,mountain,volcano,TRUE
moon,fish,mermaid,TRUE
atlantis,seaweed,mermaid,TRUE
atlantis,fish,mermaid,TRUE
atlantis,beach,mermaid,TRUE
mermaid,mermaid,mermaid,TRUE
sea,fish,mermaid,TRUE
atlantis,hurricane,tsunami,TRUE
beach,rain,tsunami,TRUE
troll,disaster,tsunami,TRUE
tsunami,disaster,tsunami,TRUE
tsunami,earthquake,tsunami,TRUE
tsunami,salt,tsunami,TRUE
atlantis,wave,tsunami,TRUE
atlantis,tornado,tsunami,TRUE
atlantis,storm,tsunami,TRUE
atlantis,avalanche,tsunami,TRUE
meteor,wave,tsunami,TRUE
avalanche,disaster,tsunami,TRUE
earthquake,moon,tsunami,TRUE
volcano,earthquake,tsunami,TRUE
troll,tsunami,tsunami,TRUE
meteor,tsunami,tsunami,TRUE
destruction,earthquake,tsunami,TRUE
forest,earth,tree,TRUE
plant,sun,tree,TRUE
plant,seed,tree,TRUE
seed,wish,tree,TRUE
plant,fossil,tree,TRUE
mountain,forest,tree,TRUE
plant,forest,tree,TRUE
rock,wind,dust,TRUE
dust bowl,sandstorm,dust,TRUE
sandstorm,salt,dust,TRUE
quagmire,wind,dust,TRUE
sandstorm,Mars,dust,TRUE
dust,troll,dust,TRUE
earth,sun,plant,TRUE
seed,seed,plant,TRUE
flower,seed,plant,TRUE
hurricane,thunder,storm,TRUE
thunder,thunder,storm,TRUE
rain,thunder,storm,TRUE
lightning,thunder,storm,TRUE
fire,fish,sushi,TRUE
fish,volcano,sushi,TRUE
steam,fish,sushi,TRUE
fog,fish,sushi,TRUE
volcano,sushi,sushi,TRUE
seaweed,surfer,sushi,TRUE
rock,water,stone,TRUE
rock,mountain,stone,TRUE
rock,rock,stone,TRUE
swamp,rock,stone,TRUE
rock,sand,stone,TRUE
lava,obsidian,stone,TRUE
fossil,rock,stone,TRUE
rock,dust,stone,TRUE
rock,statue,stone,TRUE
earth,rock,mountain,TRUE
rock,boulder,mountain,TRUE
earthquake,earthquake,mountain,TRUE
boulder,boulder,mountain,TRUE
dragon,earth,mountain,TRUE
incense,sea,smoke,TRUE
incense,mosquito,smoke,TRUE
troll,incense,wizard,TRUE
dust,salt,sand,TRUE
beach,salt,sand,TRUE
atlantis,dust,sand,TRUE
atlantis,dust storm,sand,TRUE
ocean,beach,sand,TRUE
desert,desert,sand,TRUE
sun,dust,sand,TRUE
wind,dune,sand,TRUE
dune,desert,sand,TRUE
rock,beach,sand,TRUE
mud,beach,sand,TRUE
earth,desert,sand,TRUE
phoenix,fire,ash,TRUE
dust,cinder,ash,TRUE
lightning,fire,sun,TRUE
atlantis,whale,Poseidon,TRUE
atlantis,ocean,Poseidon,TRUE
atlantis,stone,Poseidon,TRUE
atlantis,incense,Poseidon,TRUE
atlantis,mountain range,Poseidon,TRUE
atlantis,rock,Poseidon,TRUE
atlantis,sushi,Poseidon,TRUE
mermaid,atlantis,Poseidon,TRUE
ocean,whale,Poseidon,TRUE
atlantis,earth,Poseidon,TRUE
submarine,atlantis,Poseidon,TRUE
tree,rain,forest,TRUE
tree,seed,apple,TRUE
tornado,brick,house,TRUE
clay,brick,house,TRUE
surf,surfer,wave,TRUE
atlantis,tea,party,TRUE
stone,boulder,rock,TRUE
stone,fossil,rock,TRUE
bog,fossil,dinosaur,TRUE
boulder,fossil,dinosaur,TRUE
fossil,tree,dinosaur,TRUE
obsidian,fossil,dinosaur,TRUE
rock,tornado,meteor,TRUE
storm,rock,meteor,TRUE
volcano,boulder,meteor,TRUE
incense,prayer,angel,TRUE
rock,volcano,lava,TRUE
volcano,Hawaii,lava,TRUE
statue,statue,statue,TRUE
rock,island,statue,TRUE
stone,lighthouse,statue,TRUE
atlantis,cloud,rain,TRUE
cloud,mist,rain,TRUE
wish,tree,money,TRUE
puddle,ash,mud,TRUE
dust,rain,mud,TRUE
rain,clay,mud,TRUE
statue,moon,werewolf,TRUE
lotus,pollen,flower,TRUE
Titanic,Titanic,Titanic,TRUE
dandelion patch,dandelion,dandelion,TRUE
atlantis,dandelion,dandelion,TRUE
wind,seed,dandelion,TRUE
dandelion,wish,dandelion,TRUE
snow,avalanche,snowman,TRUE
ice,snow,snowman,TRUE
cloud,snow,snowman,TRUE
ash,snow,snowman,TRUE
sand,salt,beach,TRUE
sand,rain,beach,TRUE
wave,rock,beach,TRUE
beach,beach,beach,TRUE
lotus,tea,tea,TRUE
tea storm,dandelion,tea,TRUE
wine,tea,tea,TRUE
phoenix,teapot,tea,TRUE
earth,teapot,tea,TRUE
steam,teapot,tea,TRUE
tsunami,mist,fog,TRUE
rain,mist,fog,TRUE
swamp,mist,fog,TRUE
lake,mist,fog,TRUE
moon,sand,desert,TRUE
sand,dune,desert,TRUE
dune,dune,desert,TRUE
sun,sand,desert,TRUE
dust bowl,dust bowl,desert,TRUE
ash,wish,genie,TRUE
wish,planet,genie,TRUE
marsh,wish,genie,TRUE
planet,desert,Mars,TRUE
desert,Mars,Mars,TRUE
tsunami,star,black hole,TRUE
water,fish,fishbowl,TRUE
wish,wish,star,TRUE
rock,lake,island,TRUE
rock,ocean,island,TRUE
volcano,whale,island,TRUE
mountain range,beach,island,TRUE
mermaid,swamp,siren,TRUE
mermaid,obsidian,siren,TRUE
mermaid,surfer,siren,TRUE
mermaid,beach,siren,TRUE
moon,mermaid,siren,TRUE
mountain,mermaid,siren,TRUE
wave,mermaid,siren,TRUE
stone,fish,fossil,TRUE
rock,fish,fossil,TRUE
atlantis,ash,phoenix,TRUE
phoenix,phoenix,phoenix,TRUE
atlantis,phoenix,phoenix,TRUE
atlantis,plant,coral,TRUE
fish,plant,seaweed,TRUE
mermaid,kelp,seaweed,TRUE
mermaid,seaweed,seaweed,TRUE
kelp,kelp,seaweed,TRUE
kelp,sushi,seaweed,TRUE
earth,kelp,seaweed,TRUE
ocean,kelp,seaweed,TRUE
plant,kelp,seaweed,TRUE
dandelion,kelp,seaweed,TRUE
planet,cyclone,Jupiter,TRUE
ice,water,iceberg,TRUE
Titanic,ice,iceberg,TRUE
glacier,fjord,iceberg,TRUE
glacier,glacier,iceberg,TRUE
glacier,ice,iceberg,TRUE
steam,Titanic,iceberg,TRUE
Titanic,disaster,iceberg,TRUE
fog,mist,cloud,TRUE
fog,rain,cloud,TRUE
steam,ice,cloud,TRUE
steam,rain,cloud,TRUE
wind,mist,cloud,TRUE
mist,mist,cloud,TRUE
sushi,planet,Pluto,TRUE
tornado,cyclone,hurricane,TRUE
tornado,blizzard,hurricane,TRUE
tornado,dust devil,dust storm,TRUE
ocean,salt,sea,TRUE
ocean,rain,sea,TRUE
ice,ice,snow,TRUE
avalanche,blizzard,snow,TRUE
ice,cloud,snow,TRUE
dust storm,wine,sandstorm,TRUE
sandstorm,wine,sandstorm,TRUE
storm,lightning,thunder,TRUE
lightning,lightning,thunder,TRUE
lightning,rain,thunder,TRUE
brick,brick,wall,TRUE
storm,submarine,squid,TRUE
mountain,Norway,fjord,TRUE
blizzard,snow,avalanche,TRUE
mountain,snow,avalanche,TRUE
fish,meteor,meteorite,TRUE
moon,meteor,meteorite,TRUE
meteor,meteor,meteorite,TRUE
rock,meteor,meteorite,TRUE
stone,meteor,meteorite,TRUE
volcano,meteor,meteorite,TRUE
ocean,fish,shark,TRUE
fish,fish,shark,TRUE
storm,fish,shark,TRUE
fish,fossil,shark,TRUE
fish,whale,shark,TRUE
sand,pyramid,sphinx,TRUE
desert,pyramid,sphinx,TRUE
pyramid,pyramid,sphinx,TRUE
statue,sand,sphinx,TRUE
statue,stone,sphinx,TRUE
stone,pyramid,sphinx,TRUE
marsh,dandelion,wish,TRUE
dandelion,seed,wish,TRUE
forest,statue,wood,TRUE
tree,forest,wood,TRUE
moon,flower,night,TRUE
swamp,fish,frog,TRUE
wine,fire,alcohol,TRUE
mermaid,fjord,Ariel,TRUE
ocean,mermaid,Ariel,TRUE
sea,mermaid,Ariel,TRUE
fish,mermaid,Ariel,TRUE
water,snow,ice,TRUE
snow,snow,ice,TRUE
flower,smoke,incense,TRUE
smoke,prayer,incense,TRUE
obsidian,obsidian,obsidian,TRUE
stone,snow,ice,TRUE
Mars,water,Venus,TRUE
statue,mermaid,Venus,TRUE
storm,thunder,lightning,TRUE
thunder,volcano,lightning,TRUE
atlantis,lily,nymph,TRUE
lily,mermaid,nymph,TRUE
lily,lotus,nymph,TRUE
surf,surfing,surfer,TRUE
surfing,surfer,surfer,TRUE
wave,surfing,surfer,TRUE
beach,surf,surfer,TRUE
beach,tsunami,surfer,TRUE
clay,fire,pottery,TRUE
mud,clay,pottery,TRUE
dust,clay,pottery,TRUE
earth,clay,pottery,TRUE
atlantis,clay,pottery,TRUE
ash,clay,pottery,TRUE
clay,clay,brick,TRUE
tsunami,rain,flood,TRUE
rain,storm,flood,TRUE
atlantis,rain,flood,TRUE
atlantis,mud,clay,TRUE
rain,mud,clay,TRUE
sushi,obsidian,sashimi,TRUE
fish,sushi,sashimi,TRUE
sushi,sushi,sashimi,TRUE
fog,sushi,sashimi,TRUE
steam,sushi,sashimi,TRUE
rock,stone,boulder,TRUE
avalanche,rock,boulder,TRUE
tsunami,Titanic,disaster,TRUE
swamp,coral,reef,TRUE
coral,fossil,reef,TRUE
seaweed,coral,reef,TRUE
tree,coral,reef,TRUE
coral,coral,reef,TRUE
ocean,coral,reef,TRUE
atlantis,coral,reef,TRUE
fish,coral,reef,TRUE
plant,coral,reef,TRUE
moon,star,galaxy,TRUE
star,star,galaxy,TRUE
wave,beach,surf,TRUE
beach,surfer,surf,TRUE
weed,wave,surf,TRUE
ocean,surfer,surf,TRUE
dragon,troll,troll,TRUE
troll,troll,troll,TRUE
mangrove,coral,reef,TRUE
volcano,geysir,eruption,TRUE
disaster,volcano,eruption,TRUE
smoke,surfer,surf,TRUE
Mars,earth,life,TRUE
desert,sand,pyramid,TRUE
tree,pencil,paper,TRUE
dragon,fish,sea serpent,TRUE
fish,mist,rainbow,TRUE
lightning,sun,rainbow,TRUE
rain,rain,rainbow,TRUE
cloud,rain,rainbow,TRUE
water,rain,rainbow,TRUE
lotus,marsh,lily,TRUE
lighthouse,lighthouse,lighthouse,TRUE
swamp,lotus,lily,TRUE
mangrove,swamp,crocodile,TRUE
flower,ash,cigarette,TRUE
tree,sun,fruit,TRUE
tsunami,destruction,earthquake,TRUE
volcano,lightning,earthquake,TRUE
swamp,bog,marsh,TRUE
forest,forest,jungle,TRUE
flower,lily,lotus,TRUE
meteor,lotus,Buddha,TRUE
moon,water,tide,TRUE
moon,ocean,tide,TRUE
moon,wave,tide,TRUE
atlantis,steam,steampunk,TRUE
steam,dragon,steampunk,TRUE
fish,tornado,sharknado,TRUE
fish,lava,salamander,TRUE
moon,fire,eclipse,TRUE
moon,earth,eclipse,TRUE
moon,sun,eclipse,TRUE
moon,destruction,eclipse,TRUE
sushi,puddle,puddle,TRUE
teapot,teapot,teapot,TRUE
dust bowl,dust storm,dust bowl,TRUE
dust bowl,desert,dust bowl,TRUE
dust bowl,dust,dust bowl,TRUE
earth,fish,whale,TRUE
mountain,fish,whale,TRUE
whale,whale,whale,TRUE
island,sea,ship,TRUE
lake,lighthouse,ship,TRUE
teapot,planet,solar system,TRUE
sun,planet,solar system,TRUE
star,planet,solar system,TRUE
phoenix,dragon,yin yang,TRUE
lake,mermaid,Nessie,TRUE
island,statue,Statue of Liberty,TRUE
lighthouse,statue,Statue of Liberty,TRUE
dust bowl,tsunami,dustnami,FALSE
ash,statue,golem,TRUE
swamp,statue,golem,TRUE
sandstorm,desert,oasis,TRUE
flower,flower,garden,TRUE
plant,flower,garden,TRUE
salt,salt,salt lick,TRUE
dragon,dragon,dragon egg,TRUE
coral,venus flytrap,coral reef,TRUE
pollen,coral,coral reef,TRUE
swamp,mosquito,malaria,TRUE
fjord,whale,narwhal,TRUE
tornado,meteor,meteor shower,TRUE
storm,meteor,meteor shower,TRUE
mangrove,tree,mangrove,TRUE
pencil,pencil,pencil,TRUE
wind,snow,blizzard,TRUE
atlantis,engine,submarine,TRUE
submarine,submarine,submarine,TRUE
engine,submarine,submarine,TRUE
meteor,boulder,asteroid,TRUE
meteor,dust bowl,asteroid,TRUE
destruction,planet,asteroid,TRUE
atlantis,pollen,bee,TRUE
pollen,flower,bee,TRUE
fossil,fossil,amber,TRUE
sushi,pollen,wasabi,TRUE
fire,sushi,wasabi,TRUE
sushi,flower,wasabi,TRUE
sushi,weed,wasabi,TRUE
allergy,pollen,sneeze,TRUE
allergy,allergy,sneeze,TRUE
dust,allergy,sneeze,TRUE
fjord,Norway,Viking,TRUE
prayer,prayer,temple,TRUE
ocean,puddle,pond,TRUE
puddle,puddle,pond,TRUE
lake,fish,fishing,TRUE
beach,fish,fishing,TRUE
atlantis,sand,Egypt,TRUE
swamp,marsh,bog,TRUE
quagmire,swamp,bog,TRUE
water,puddle,pond,TRUE
sun,star,supernova,TRUE
star,meteor,supernova,TRUE
dandelion,flower,seed,TRUE
rocket,fire,explosion,TRUE
volcano,fireworks,explosion,TRUE
fire,fireworks,explosion,TRUE
destruction,destruction,explosion,TRUE
plant,weed,pot,TRUE
troll,fjord,bridge,TRUE
ash,salt,sodium,TRUE
rain,dandelion,wet,TRUE
wind,fish,flying fish,TRUE
steam,surfing,surfing,TRUE
surfer,wave,surfing,TRUE
tsunami,surfer,surfing,TRUE
tsunami,surfing,surfing,TRUE
statue,tornado,ozymandias,TRUE
smoke,statue,ozymandias,TRUE
fog,thunder,thunderstorm,TRUE
rocket,moon,astronaut,TRUE
wine,mud,muddy wine,FALSE
tea storm,tea,tea storm,FALSE
obsidian,dragon,onyx,TRUE
island,continent,archipelago,TRUE
fireworks,fireworks,fireworks,TRUE
sushi,seaweed,roll,TRUE
continent,Hawaii,Hawaii,TRUE
island,Hawaii,Hawaii,TRUE
Hawaii,Hawaii,Hawaii,TRUE
statue,geysir,gargoyle,TRUE
moon,tsunami,tidal wave,TRUE
moon,hurricane,tidal wave,TRUE
tea,salt,sweet,TRUE
steam,geysir,hot spring,TRUE
